,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
19588,0.647697550205901,0.337370567203294,0.312441692168651,0.793868012750374,0.959260958743528,0.534094813737577
20641,0.830649415773416,0.0951079001038702,0.560754909948397,0.790049460634241,0.946631685229844,0.532200715175688
31811,0.827576088191388,0.082404164969922,0.586168320510234,0.825108824689629,0.904128867349774,0.512641297801007
24734,0.892878688407158,0.0509988448546994,0.337003853055334,0.807702987050057,0.828831742518854,0.78019933005009
36200,0.855742333006638,0.111401418358356,0.424158143528899,0.731315853015213,0.932149524738076,0.764505621046083
33880,0.715696617571113,0.0377193919977637,0.973897472233336,0.911367391670197,0.809838436950798,0.733026784628746
3276,0.895286501820146,0.0285519986265007,0.380852739341457,0.86307083726705,0.749335454687622,0.752154811136377
31019,0.728098102083758,0.20932326149222,0.538943230488005,0.909585558812657,0.720285249818861,0.626177861237805
29039,0.577114090239231,0.371974414703218,0.411498910688908,0.989416995975798,0.755239426590711,0.581861695825925
16433,0.578532159022952,0.212263832756415,0.872782143474557,0.945347041632141,0.878167450758296,0.695854452467549
30266,0.683201593665954,0.336125146249595,0.12220326297615,0.843457657236952,0.911369009367347,0.563179237749283
16076,0.620791389711645,0.365177189063038,0.347187538025533,0.860106609325865,0.7790094919168,0.885958122092658
11157,0.721777659684016,0.277192718643862,0.18002271422607,0.847816237576186,0.951886896827377,0.374299783809466
3895,0.726285753799229,0.178204585445463,0.634622246206203,0.749560547623616,0.942136516415469,0.62170983180552
31571,0.588746861006014,0.236253897211708,0.81924001879397,0.984133225386257,0.835858124489675,0.571880920745713
12380,0.737630869752987,0.0977245566293743,0.83171935411818,0.90632522421974,0.776410342466117,0.64451128906803
27684,0.679816381372933,0.181821430336914,0.784266688701304,0.854465294595086,0.935909806345088,0.539146409862469
7905,0.624536136896022,0.356777397578069,0.373597175491563,0.978492915207167,0.690266742095445,0.726613618467178
33281,0.768381759452969,0.0451982075596356,0.83108118253314,0.876924085297716,0.826964799470703,0.578486185043488
24516,0.619785283099951,0.393160577350065,0.123608799373384,0.946507082389456,0.797947914974624,0.580368239564532
35077,0.728052975931224,0.210439636370351,0.554416128617235,0.87477411936538,0.735776037922292,0.681306713561802
23500,0.855882284808012,0.125217372160848,0.113176009514759,0.841192853085442,0.781010098678022,0.8662876526161
14202,0.832672263643202,0.172036624361199,0.20909676906872,0.958512835116738,0.793193637832332,0.542631526549843
2195,0.879471420360637,0.0910443945620244,0.254614438996055,0.849416448082098,0.830557177997104,0.740082421499447
28534,0.598375800055696,0.423518004801945,0.0489410293933247,0.849602212500172,0.890525427485203,0.752657140876896
34011,0.633106483475961,0.355070432179263,0.22655346494738,0.937910964272848,0.994702447817345,0.180957722391898
11070,0.760989237146602,0.167675662036045,0.492308297157874,0.887815138871555,0.790228115954361,0.481310587586584
22519,0.610906181423188,0.411551647990082,0.0507299659616774,0.995475870765353,0.838412041870215,0.470175052736589
29616,0.881036403745698,0.0447495432857656,0.294498180372829,0.855912283832417,0.806977506433583,0.644072177069317
34168,0.813337436505441,0.0151949080165556,0.761036291172361,0.972027171763122,0.78994179215175,0.398670033947144
1726,0.722284005066129,0.0519964791422536,0.921778628182616,0.81151188604149,0.859563688831996,0.776174440556295
28382,0.557043497552998,0.274024958679212,0.79631751236843,0.972124890697076,0.868653084304559,0.624411579849712
31929,0.758187548920902,0.128259952082307,0.6389078128877,0.944815642268406,0.797565271389756,0.35538682672566
3821,0.791487486213081,0.209711498746319,0.291067450014852,0.861565053966874,0.697121466107165,0.882800317155243
26199,0.627092361454315,0.304662761187699,0.560541871975182,0.753550081782056,0.899453245311798,0.849044711513001
7121,0.752124223895597,0.258064919066496,0.280882413491875,0.928316950273728,0.841113956365282,0.464285580967435
38165,0.59520150902163,0.330590947341631,0.579848920960866,0.99240769500254,0.950220549592436,0.271387061088639
4737,0.694134041482222,0.118808620338494,0.879783699081024,0.706406826753717,0.984564873858657,0.942540433468693
2675,0.817473272459897,0.158746509755062,0.1293367515558,0.870178815697082,0.959209556385851,0.381815220813107
37691,0.8397319796408,0.147985388782898,0.407170502517863,0.747411820560914,0.991910707945367,0.642154649439945
17634,0.743743802108487,0.238893852874689,0.385126971634283,0.948978799317667,0.785661264618454,0.465234040887854
